time	V(x)	V(z)	-V(yn)
1.834673406070018e+00	-8.042282e-02	1.231606e+00	-1.217719e-01
1.835673406070018e+00	-8.471844e-02	1.195274e+00	-1.292826e-01
1.836673406070018e+00	-8.936434e-02	1.160020e+00	-1.377190e-01
1.837673406070018e+00	-9.441895e-02	1.125836e+00	-1.471574e-01
1.838673406070018e+00	-9.994294e-02	1.092721e+00	-1.576855e-01
1.839673406070018e+00	-1.060002e-01	1.060674e+00	-1.694038e-01
1.840673406070017e+00	-1.126587e-01	1.029705e+00	-1.824264e-01
1.841673406070017e+00	-1.199915e-01	9.998261e-01	-1.968818e-01
1.842673406070017e+00	-1.280778e-01	9.710615e-01	-2.129144e-01
1.843673406070017e+00	-1.370037e-01	9.434434e-01	-2.306857e-01
1.844673406070017e+00	-1.468633e-01	9.170162e-01	-2.503757e-01
1.845673406070017e+00	-1.577601e-01	8.918384e-01	-2.721845e-01
1.846673406070017e+00	-1.698075e-01	8.679858e-01	-2.963336e-01
1.847673406070017e+00	-1.831305e-01	8.455548e-01	-3.230675e-01
1.848673406070017e+00	-1.978667e-01	8.246670e-01	-3.526553e-01
1.849673406070016e+00	-2.141672e-01	8.054741e-01	-3.853915e-01
1.850673406070016e+00	-2.321982e-01	7.881646e-01	-4.215973e-01
1.851673406070016e+00	-2.521419e-01	7.729710e-01	-4.616204e-01
1.851798406070016e+00	-2.547937e-01	7.712498e-01	-4.669393e-01
1.851829656070016e+00	-2.554588e-01	7.708219e-01	-4.682731e-01
1.851892156070016e+00	-2.567930e-01	7.699710e-01	-4.709491e-01
1.852017156070016e+00	-2.594869e-01	7.682979e-01	-4.763514e-01
1.852021062320016e+00	-2.595716e-01	7.682462e-01	-4.765213e-01
1.852022038882516e+00	-2.595928e-01	7.682333e-01	-4.765638e-01
1.852023992007516e+00	-2.596352e-01	7.682075e-01	-4.766488e-01
1.852024480288766e+00	-2.596458e-01	7.682011e-01	-4.766700e-01
1.852025456851266e+00	-2.596670e-01	7.681882e-01	-4.767126e-01
1.852025700991891e+00	-2.596723e-01	7.681850e-01	-4.767232e-01
1.852026189273141e+00	-2.596829e-01	7.681785e-01	-4.767444e-01
1.852026311343454e+00	-2.596855e-01	7.681769e-01	-4.767497e-01
1.852026341861032e+00	-2.596862e-01	7.681765e-01	-4.767511e-01
1.852026349490426e+00	-2.596864e-01	7.681764e-01	-4.767514e-01
1.852026351397775e+00	-2.596864e-01	7.681763e-01	-4.767515e-01
1.852026355212472e+00	-2.596865e-01	7.681763e-01	-4.767517e-01
1.852026362841867e+00	-2.596866e-01	7.681762e-01	-4.767520e-01
1.852026378100656e+00	-2.596870e-01	7.681760e-01	-4.767526e-01
1.852026408618234e+00	-2.596877e-01	7.681756e-01	-4.767540e-01
1.852026469653390e+00	-2.596890e-01	7.681748e-01	-4.767566e-01
1.852026591723702e+00	-2.596916e-01	7.681732e-01	-4.767619e-01
1.852026835864327e+00	-2.596969e-01	7.681699e-01	-4.767726e-01
1.852027324145578e+00	-2.597075e-01	7.681635e-01	-4.767938e-01
1.852028300708078e+00	-2.597287e-01	7.681506e-01	-4.768363e-01
1.852030253833078e+00	-2.597711e-01	7.681248e-01	-4.769214e-01
1.852034160083077e+00	-2.598560e-01	7.680733e-01	-4.770915e-01
1.852041972583077e+00	-2.600258e-01	7.679703e-01	-4.774319e-01
1.852057597583078e+00	-2.603657e-01	7.677649e-01	-4.781136e-01
1.852088847583077e+00	-2.610472e-01	7.673559e-01	-4.794801e-01
1.852151347583078e+00	-2.624168e-01	7.665453e-01	-4.822260e-01
1.852276347583077e+00	-2.651817e-01	7.649540e-01	-4.877690e-01
1.852526347583078e+00	-2.708171e-01	7.618942e-01	-4.990635e-01
1.853026347583077e+00	-2.825228e-01	7.562866e-01	-5.225103e-01
1.854026347583077e+00	-3.077843e-01	7.473168e-01	-5.730315e-01
1.855026347583077e+00	-3.356971e-01	7.416987e-01	-6.287102e-01
1.856026347583077e+00	-3.665205e-01	7.399886e-01	-6.899802e-01
1.857026347583077e+00	-4.005304e-01	7.428582e-01	-7.572736e-01
1.858026347583077e+00	-4.380166e-01	7.511150e-01	-8.310037e-01
1.859026347583077e+00	-4.792787e-01	7.657243e-01	-9.115407e-01
1.860026347583077e+00	-5.246194e-01	7.878305e-01	-9.991779e-01
1.861026347583077e+00	-5.743345e-01	8.187783e-01	-1.094086e+00
1.862026347583077e+00	-6.286993e-01	8.601297e-01	-1.196253e+00
1.863026347583076e+00	-6.879495e-01	9.136707e-01	-1.305409e+00
1.864026347583076e+00	-7.522556e-01	9.814047e-01	-1.420929e+00
1.865026347583076e+00	-8.216901e-01	1.065520e+00	-1.541718e+00
1.866026347583076e+00	-8.961857e-01	1.168321e+00	-1.666081e+00
1.867026347583076e+00	-9.754848e-01	1.292110e+00	-1.791583e+00
1.868026347583076e+00	-1.059081e+00	1.439006e+00	-1.914913e+00
1.869026347583076e+00	-1.146153e+00	1.610681e+00	-2.031785e+00
1.870026347583076e+00	-1.235504e+00	1.808019e+00	-2.136907e+00
1.871026347583076e+00	-1.325502e+00	2.030707e+00	-2.224059e+00
1.872026347583075e+00	-1.414044e+00	2.276784e+00	-2.286357e+00
1.873026347583075e+00	-1.498567e+00	2.542242e+00	-2.316710e+00
1.874026347583075e+00	-1.576095e+00	2.820747e+00	-2.308524e+00
1.875026347583075e+00	-1.643376e+00	3.103649e+00	-2.256572e+00
1.876026347583075e+00	-1.697079e+00	3.380347e+00	-2.157955e+00
1.877026347583075e+00	-1.734066e+00	3.639103e+00	-2.012930e+00
1.878026347583075e+00	-1.751695e+00	3.868227e+00	-1.825404e+00
1.879026347583075e+00	-1.748119e+00	4.057466e+00	-1.602890e+00
1.880026347583075e+00	-1.722524e+00	4.199312e+00	-1.355848e+00
1.881026347583074e+00	-1.675252e+00	4.289926e+00	-1.096486e+00
1.882026347583074e+00	-1.607788e+00	4.329456e+00	-8.372790e-01
1.883026347583074e+00	-1.522608e+00	4.321701e+00	-5.895165e-01
1.884026347583074e+00	-1.422918e+00	4.273241e+00	-3.621899e-01
1.885026347583074e+00	-1.312335e+00	4.192280e+00	-1.613908e-01
1.885120449716962e+00	-1.301444e+00	4.183133e+00	-1.441205e-01
1.885308653984737e+00	-1.279549e+00	4.164446e+00	-1.101196e-01
1.885355705051681e+00	-1.274033e+00	4.159630e+00	-1.018222e-01
1.885367467818417e+00	-1.272654e+00	4.158423e+00	-9.975210e-02
1.885390993351889e+00	-1.269893e+00	4.156004e+00	-9.562034e-02
1.885396874735257e+00	-1.269202e+00	4.155397e+00	-9.459058e-02
1.885408637501993e+00	-1.267820e+00	4.154181e+00	-9.253319e-02
1.885409005088454e+00	-1.267777e+00	4.154143e+00	-9.246896e-02
1.885409740261375e+00	-1.267690e+00	4.154068e+00	-9.234053e-02
1.885409924054605e+00	-1.267669e+00	4.154048e+00	-9.230842e-02
1.885410291641065e+00	-1.267625e+00	4.154010e+00	-9.224421e-02
1.885411026813986e+00	-1.267539e+00	4.153934e+00	-9.211580e-02
1.885411049788140e+00	-1.267536e+00	4.153932e+00	-9.211179e-02
1.885411095736448e+00	-1.267531e+00	4.153927e+00	-9.210376e-02
1.885411187633063e+00	-1.267520e+00	4.153918e+00	-9.208771e-02
1.885411371426293e+00	-1.267498e+00	4.153899e+00	-9.205561e-02
1.885411739012754e+00	-1.267455e+00	4.153861e+00	-9.199142e-02
1.885412474185675e+00	-1.267369e+00	4.153784e+00	-9.186304e-02
1.885413944531517e+00	-1.267196e+00	4.153632e+00	-9.160633e-02
